parameter,value,rmse_mean,rmse_std,rmse_sem,n_seeds
alpha_phi,0.5,0.23375014587727277,0.3383269521266127,0.061769767830572066,30
alpha_phi,1.0,0.0886381384303931,0.03830861852722995,0.006994164838074726,30
alpha_phi,1.5,0.07277478103103228,0.018449269282605034,0.00336836031852331,30
alpha_phi,2.0,0.25256445879476913,0.027252445914856357,0.0049755931249187806,30
alpha_phi,2.5,1.2224806462438298,0.02222828784500828,0.004058311555809644,30
alpha_phi,3.0,1.6438182012532914,0.03125426490093752,0.0057062219681618155,30
alpha_nu,0.02,0.07777917437447192,0.030404205940315898,0.005551023145514529,30
alpha_nu,0.05,0.07391429717701532,0.02131300229300021,0.0038912040413451813,30
alpha_nu,0.1,0.07277478103103228,0.018449269282605034,0.00336836031852331,30
alpha_nu,0.2,0.07371292058590181,0.019158679864071087,0.0034978803778572477,30
alpha_nu,0.5,0.07666707111440624,0.01954384859999009,0.0035682022462267776,30
alpha_tau,0.2,0.0732609594711729,0.01813309671894289,0.003310635370129312,30
alpha_tau,0.5,0.07265067536412831,0.01819231355697504,0.003321446836120758,30
alpha_tau,1.0,0.07277478103103228,0.018449269282605034,0.00336836031852331,30
alpha_tau,2.0,0.15829882094483833,0.251998315829463,0.04600838734436936,30
alpha_tau,5.0,5.442472452997734,2.4663077463179865,0.4502841288026967,30
