data_type,frame,improvement_vs_EKF_pct,is_slip_frame,mean,median,method,n_samples,n_seeds,n_t,p90,p95,p99,phase_error_mean,phase_error_std,phi_DU,phi_EKF,phi_GN6,phi_true,rmse_mean,rmse_sem,rmse_std,seed,slip_frame,sqrt_pcrb_nu,sqrt_pcrb_phi,sqrt_pcrb_tau,std
recovery_time,0,,,,,EKF,,30,,,,,0.02929990297886085,0.02062267316507564,,,,,,,,,20,,,,
recovery_time,0,,,,,IEKF-4,,30,,,,,0.029284272814236297,0.020290100679044066,,,,,,,,,20,,,,
recovery_time,0,,,,,GN-6,,30,,,,,0.029325969397015195,0.020288676140716094,,,,,,,,,20,,,,
recovery_time,0,,,,,DU-tun-6,,30,,,,,0.028774357844190964,0.01990298913905944,,,,,,,,,20,,,,
recovery_time,1,,,,,EKF,,30,,,,,0.03012948766282079,0.022609469048329212,,,,,,,,,20,,,,
recovery_time,1,,,,,IEKF-4,,30,,,,,0.03018735814815705,0.022797149210953715,,,,,,,,,20,,,,
recovery_time,1,,,,,GN-6,,30,,,,,0.03005158296141886,0.023232509792972963,,,,,,,,,20,,,,
recovery_time,1,,,,,DU-tun-6,,30,,,,,0.029553441907820735,0.023624858073797706,,,,,,,,,20,,,,
recovery_time,2,,,,,EKF,,30,,,,,0.032639830640763916,0.023215353810693277,,,,,,,,,20,,,,
recovery_time,2,,,,,IEKF-4,,30,,,,,0.032796292839124955,0.02302186608539462,,,,,,,,,20,,,,
recovery_time,2,,,,,GN-6,,30,,,,,0.03273119659760281,0.02304198751936721,,,,,,,,,20,,,,
recovery_time,2,,,,,DU-tun-6,,30,,,,,0.03252169131628024,0.022946511669505665,,,,,,,,,20,,,,
recovery_time,3,,,,,EKF,,30,,,,,0.02387385163229115,0.018633846948260556,,,,,,,,,20,,,,
recovery_time,3,,,,,IEKF-4,,30,,,,,0.023800301689432323,0.018985394282159635,,,,,,,,,20,,,,
recovery_time,3,,,,,GN-6,,30,,,,,0.02364661768069022,0.018884991681772406,,,,,,,,,20,,,,
recovery_time,3,,,,,DU-tun-6,,30,,,,,0.02342614447952531,0.018593458369124096,,,,,,,,,20,,,,
recovery_time,4,,,,,EKF,,30,,,,,0.027861631298810845,0.02001687408705093,,,,,,,,,20,,,,
recovery_time,4,,,,,IEKF-4,,30,,,,,0.027886197388563586,0.020155203688642584,,,,,,,,,20,,,,
