parameter,value,rmse_mean,rmse_std,rmse_sem,n_seeds
alpha_phi,0.5,0.7462362026551579,0.10740218449814583,0.02401585854698282,20
alpha_phi,1.0,0.5584646708907762,0.09379133212165523,0.020972379432428065,20
alpha_phi,1.5,0.4362482575793825,0.0753601105470322,0.016851032997506288,20
alpha_phi,2.0,0.4231892623359458,0.06184496349177031,0.013828954243359115,20
alpha_phi,2.5,1.628615875781097,0.08072196938637397,0.018049981082558918,20
alpha_phi,3.0,1.8330731831208613,0.06155955884002324,0.013765135823119007,20
alpha_nu,0.05,0.44099439471303514,0.0819946109109001,0.018334552378541858,20
alpha_nu,0.1,0.4362482575793825,0.0753601105470322,0.016851032997506288,20
alpha_nu,0.2,0.4359589918185901,0.07846516948613272,0.0175453452837035,20
alpha_nu,0.3,0.43785992381021127,0.07866198546092112,0.017589354673571974,20
alpha_nu,0.5,0.45923485532439223,0.10643401371764938,0.02379936897908091,20
alpha_nu,1.0,0.46280847219392135,0.0934580457747604,0.020897854339665123,20
alpha_tau,0.5,0.4369044735740039,0.07501464865435539,0.01677378536994018,20
alpha_tau,0.75,0.4365177698663759,0.07519746187772379,0.016814663649403937,20
alpha_tau,1.0,0.4362482575793825,0.0753601105470322,0.016851032997506288,20
alpha_tau,1.25,0.4360938865423317,0.07548097283755789,0.016878058627259464,20
alpha_tau,1.5,0.43602386641562907,0.07558128952412511,0.016900490120303646,20
alpha_tau,2.0,0.47260917454850826,0.07325093195983624,0.016379406327740573,20
